Year,Region,Crop,Area_hectares,Yield_t_per_ha,Winter_Tmax,Spring_Tmax,Summer_Tmax,Autumn_Tmax,Winter_Tmin,Spring_Tmin,Summer_Tmin,Autumn_Tmin,Spring_Temp_Mean,Summer_Temp_Mean,Flowering_Temp,Grain_Filling_Temp,Summer_Tmax_Peak,Spring_Tmin_Coldest,Spring_Temp_Range,Summer_Temp_Range,Spring_GDD,Summer_GDD,Winter_Rain,Spring_Rain,Summer_Rain,Autumn_Rain,Planting_Rain,Grain_Filling_Rain,Harvest_Rain,Annual_Rain,Rain_Deviation_from_Optimal,Spring_Rain_Squared,Summer_Rain_Squared,Winter_Sun,Spring_Sun,Summer_Sun,Autumn_Sun,Grain_Filling_Sun,Flowering_Sun,Summer_Sun_per_Rain,Winter_Frost,Spring_Frost,Autumn_Frost,Late_Spring_Frost,Spring_Temp_x_Rain,Summer_Temp_x_Rain,Summer_Temp_x_Sun,Heat_Stress,Cold_Spring,Extreme_Summer_Rain,Drought_Spring,Nitrogen_kg_ha,Phosphorus_kg_ha
2009,Wales,Winter_Barley,6352,6.0,6.033333333333334,12.533333333333331,18.5,13.866666666666667,0.4000000000000001,4.633333333333334,10.8,7.333333333333333,8.583333333333334,14.65,12.425,14.975,18.7,2.5,7.9,7.700000000000001,10.750000000000002,28.95,355.2,238.0,402.9,500.7,500.7,328.2,154.9,1496.8000000000002,140.9000000000001,56644.0,162328.41000000003,157.10000000000002,474.9,494.7,258.0,297.2,385.1,1.2278481012658229,41.0,7.6,0.8,1.9,2042.8333333333337,5902.485,9151.95,0,0,1,0,56.09473372781065,3.331775147928994
2010,Wales,Winter_Barley,7279,6.2,4.166666666666667,12.233333333333334,18.666666666666668,12.6,-2.1333333333333333,3.2000000000000006,10.533333333333331,5.666666666666667,7.716666666666668,14.6,12.125,14.8,19.3,1.1,9.033333333333331,8.133333333333335,8.150000000000002,28.799999999999997,213.9,196.6,306.3,412.2,412.2,264.1,258.0,1129.0,2.8999999999999773,38651.56,93819.69,176.6,541.3,496.6,316.5,260.0,448.0,1.6212863206007182,60.3,20.4,12.7,7.3,1517.0966666666668,4471.9800000000005,9269.866666666669,0,0,0,0,60.14301775147929,4.752307692307692
2011,Wales,Winter_Barley,8097,6.3,7.7,13.666666666666666,17.733333333333334,14.633333333333333,2.4,5.1000000000000005,9.533333333333331,8.499999999999998,9.383333333333333,13.633333333333333,11.9,14.15,18.5,1.7,8.566666666666666,8.200000000000001,13.15,25.9,491.0,155.60000000000002,288.5,353.6,353.6,178.5,212.6,1288.6999999999998,55.89999999999998,24211.360000000008,83232.25,134.3,532.1,504.9,263.3,305.8,369.0,1.7500866551126515,22.700000000000003,9.9,1.3,0.3,1460.0466666666669,3933.2166666666662,8953.560000000001,0,0,0,0,60.83821428571429,4.971547619047619
2012,Wales,Winter_Barley,7731,5.7,7.533333333333334,12.5,17.533333333333335,12.266666666666666,2.0,4.366666666666666,10.733333333333334,5.733333333333334,8.433333333333334,14.133333333333336,11.825,14.825,18.9,2.9,8.133333333333333,6.800000000000001,10.3,27.4,459.1,277.6,508.1,457.6,457.6,289.5,287.6,1702.4,285.70000000000005,77061.76000000001,258165.60999999996,154.0,481.5,397.2000000000001,270.0,278.5,325.8,0.781735878764023,29.6,7.5,6.8,5.6,2341.0933333333337,7181.1466666666665,6964.240000000002,0,0,1,0,59.53547619047619,4.883928571428571
2013,Wales,Winter_Barley,4966,6.3,6.933333333333333,9.733333333333334,19.633333333333333,13.5,1.633333333333333,2.3,10.733333333333334,7.266666666666667,6.0166666666666675,15.183333333333334,11.05,16.35,22.4,-0.7,7.4333333333333345,8.899999999999999,5.65,30.55,441.4,255.4,233.6,412.8,412.8,171.2,182.8,1343.2,11.0,65229.15999999999,54568.96,143.2,442.7000000000001,626.5,234.2,438.5,371.6,2.6819349315068495,32.3,29.9,5.4,10.0,1536.6566666666668,3546.826666666667,12300.283333333333,0,1,0,0,59.82035928143713,5.071377245508982
2014,Wales,Winter_Barley,6580,6.5,7.933333333333333,13.0,19.066666666666663,14.633333333333336,2.7000000000000006,5.3,10.433333333333334,7.633333333333333,9.15,14.75,12.75,15.05,20.8,3.0,7.7,8.633333333333333,12.45,29.25,659.1,289.0,257.9,345.0,345.0,200.4,159.70000000000002,1551.0,46.89999999999998,83521.0,66512.40999999999,162.5,417.3,616.0,287.9,395.8,362.9,2.388522683210547,15.3,4.9,2.4,0.5,2644.35,3804.025,11745.066666666666,0,0,0,0,63.45796407185629,5.283113772455089
2015,Wales,Winter_Barley,6926,7.2,8.366666666666667,11.933333333333332,17.866666666666664,13.933333333333335,2.966666666666667,3.9,10.0,6.7,7.916666666666666,13.933333333333332,11.425,14.4,18.2,2.0,8.033333333333331,7.866666666666664,8.75,26.799999999999997,609.6,267.4,302.4,389.1,389.1,242.8,200.6,1568.5,69.79999999999995,71502.76,91445.75999999998,148.4,499.2999999999999,533.4,287.1,313.2,382.1,1.7638888888888888,22.6,10.1,2.5,1.9,2116.9166666666665,4213.44,9530.079999999998,0,0,0,0,63.16542168674699,5.153915662650602
2016,Wales,Winter_Barley,8132,6.2,8.200000000000001,12.033333333333331,18.766666666666666,13.366666666666667,2.4666666666666663,4.0,11.433333333333332,6.699999999999999,8.016666666666666,15.099999999999998,13.175,15.4,19.4,1.6,8.033333333333333,7.333333333333334,9.05,30.299999999999997,473.7000000000001,277.5,321.4,298.4,298.4,190.0,239.0,1371.0,98.89999999999998,77006.25,103297.96,152.7,512.5999999999999,467.00000000000006,297.9,325.70000000000005,357.6,1.453018046048538,22.799999999999997,14.0,6.6,5.8999999999999995,2224.6249999999995,4853.139999999999,8764.033333333335,0,0,0,0,61.86746987951807,5.180060240963855
2017,Wales,Winter_Barley,7351,6.6,7.633333333333333,13.366666666666667,18.633333333333336,13.366666666666667,2.433333333333333,5.3999999999999995,11.066666666666668,7.166666666666667,9.383333333333333,14.85,13.55,14.95,19.4,4.1,7.966666666666668,7.566666666666668,13.15,29.549999999999997,373.7,252.0,363.2,426.7000000000001,426.7000000000001,232.4,282.8,1415.6,115.20000000000005,63504.0,131914.24,131.3,475.6,484.49999999999994,232.6,323.79999999999995,376.2999999999999,1.33397577092511,26.6,5.5,6.1,3.3,2364.6,5393.52,9027.85,0,0,1,0,63.09090909090909,5.158545454545455
2018,Wales,Winter_Barley,7670,6.1,7.4,12.066666666666668,20.666666666666668,13.233333333333334,2.2333333333333334,4.266666666666667,11.2,6.466666666666668,8.166666666666668,15.933333333333334,13.65,16.2,22.6,0.9,7.800000000000002,9.466666666666669,10.5,32.8,437.7,316.4,182.2,431.0,431.0,161.8,233.8,1367.3,1.400000000000034,100108.96,33196.84,163.6,441.5,646.4,297.7,385.4,493.2,3.5477497255762898,24.5,13.6,6.8,2.7,2583.9333333333334,2903.0533333333333,13358.933333333334,0,0,0,0,62.60606060606061,4.973333333333334
2019,Wales,Winter_Barley,8253,7.6,8.4,12.7,18.9,12.7,2.3333333333333335,4.666666666666667,11.233333333333334,6.3999999999999995,8.683333333333334,15.066666666666666,11.775,15.975,20.4,3.8,8.033333333333335,7.666666666666664,11.05,30.200000000000003,353.79999999999995,322.2,349.5,579.0,579.0,202.8,337.4,1604.4999999999998,171.70000000000005,103812.84,122150.25,181.7,464.0,498.1,274.40000000000003,358.20000000000005,338.20000000000005,1.4251788268955652,23.200000000000003,7.0,5.1,4.300000000000001,2797.77,5265.8,9414.09,0,0,0,0,63.353658536585364,4.923841463414634
2020,Wales,Winter_Barley,7473,6.0,8.066666666666668,13.9,18.500000000000004,13.6,2.9333333333333336,4.3999999999999995,11.133333333333333,6.900000000000001,9.15,14.816666666666668,12.85,15.175,19.6,2.2,9.5,7.366666666666671,12.45,29.450000000000003,704.3,158.2,446.6,437.6,437.6,305.7,265.2,1746.6999999999998,104.79999999999995,25027.24,199451.56000000003,140.1,647.2,428.7000000000001,271.09999999999997,270.9,443.6,0.9599193909538738,14.4,11.0,2.9,4.4,1447.53,6617.123333333334,7930.950000000003,0,0,1,0,63.353658536585364,4.923841463414634
2021,Wales,Winter_Barley,8482,6.9,7.366666666666667,11.5,19.4,14.4,2.1666666666666665,3.133333333333333,10.933333333333332,7.966666666666666,7.316666666666666,15.166666666666664,11.725,15.675,21.1,1.1,8.366666666666667,8.466666666666667,6.950000000000001,30.5,564.7,329.4,192.7,410.9,410.9,160.0,200.0,1497.6999999999998,22.09999999999991,108504.36,37133.28999999999,128.5,513.0,506.5,251.9,329.6,348.3,2.628437986507525,29.6,20.700000000000003,4.9,14.1,2410.1099999999997,2922.616666666666,9826.1,0,0,0,0,63.353658536585364,4.923841463414634
2022,Wales,Winter_Barley,9069,7.0,7.833333333333333,13.366666666666664,20.4,14.633333333333336,1.9,4.766666666666667,10.833333333333334,8.033333333333333,9.066666666666666,15.616666666666667,12.7,16.65,22.0,2.7,8.599999999999998,9.566666666666668,12.2,31.85,445.4,164.1,172.00000000000003,512.5,512.5,96.1,164.8,1294.0,163.89999999999998,26928.81,29584.00000000001,164.5,473.4,611.3,266.9,413.0,348.70000000000005,3.5540697674418595,25.6,10.2,0.7,5.3,1487.84,2686.066666666667,12470.52,0,0,0,0,63.353658536585364,4.923841463414634
2023,Wales,Winter_Barley,8898,6.6,8.633333333333333,12.6,19.433333333333337,14.633333333333333,3.2000000000000006,4.8999999999999995,11.533333333333331,8.333333333333334,8.75,15.483333333333333,14.075,15.1,21.4,3.5,7.7,7.900000000000002,11.25,31.450000000000003,491.4,330.2,351.0,553.0,553.0,301.6,282.9,1725.6,181.20000000000005,109032.04,123201.0,153.6,452.5,493.0,263.4,254.1,482.4,1.4045584045584043,21.799999999999997,9.4,3.6,3.0,2889.25,5434.65,9580.633333333331,0,0,1,0,63.353658536585364,4.923841463414634
2024,Wales,Winter_Barley,9039,5.8,8.466666666666667,12.933333333333332,18.2,13.433333333333332,3.466666666666667,5.966666666666666,10.333333333333332,7.133333333333333,9.45,14.266666666666666,12.775,15.0,19.0,4.0,6.966666666666666,7.866666666666667,13.35,27.799999999999997,578.5,396.99999999999994,245.7,435.7,435.7,196.1,264.6,1656.9,142.69999999999993,157608.99999999994,60368.490000000005,124.5,367.0,476.8,245.9,301.5,336.9,1.9405779405779404,15.6,6.1,6.300000000000001,2.0,3751.649999999999,3505.32,8677.76,0,0,0,0,63.353658536585364,4.923841463414634
2004,Scotland,Winter_Barley,56348,7.2,6.5,11.066666666666668,16.666666666666668,11.433333333333332,0.6333333333333333,3.633333333333333,9.533333333333331,5.5,7.35,13.1,11.0,13.6,17.9,1.2,7.433333333333335,7.133333333333335,7.349999999999999,24.299999999999997,505.2999999999999,282.59999999999997,395.7,501.0,501.0,264.5,364.0,1684.6,178.29999999999995,79862.75999999998,156578.49,143.5,396.4,395.2,218.5,277.1,301.0,0.9987364164771292,41.2,12.2,7.2,2.8,2077.1099999999997,5183.67,6586.666666666667,0,0,1,0,65.40691860465117,7.054883720930232
2005,Scotland,Winter_Barley,51341,7.4,6.333333333333333,10.366666666666667,16.8,11.9,1.0,3.233333333333333,9.266666666666666,5.733333333333333,6.8,13.033333333333331,10.375,13.325,17.3,2.5,7.133333333333335,7.533333333333335,5.400000000000001,24.1,447.5,350.20000000000005,287.7,493.4,493.4,183.7,273.6,1578.8000000000002,137.9000000000001,122640.04000000004,82771.29,123.0,414.2,414.0,209.4,282.4,313.7,1.4389989572471324,34.5,17.599999999999998,11.9,8.1,2381.36,3749.69,6955.200000000001,0,0,0,0,62.0459649122807,6.611169590643275
