Year,Region,Country,Crop,Area_hectares,Yield_t_per_ha,Winter_Tmax,Spring_Tmax,Summer_Tmax,Autumn_Tmax,Winter_Tmin,Spring_Tmin,Summer_Tmin,Autumn_Tmin,Spring_Temp_Mean,Summer_Temp_Mean,Flowering_Temp,Grain_Filling_Temp,Summer_Tmax_Peak,Spring_Tmin_Coldest,Spring_Temp_Range,Summer_Temp_Range,Spring_GDD,Summer_GDD,Winter_Rain,Spring_Rain,Summer_Rain,Autumn_Rain,Planting_Rain,Grain_Filling_Rain,Harvest_Rain,Annual_Rain,Rain_Deviation_from_Optimal,Spring_Rain_Squared,Summer_Rain_Squared,Winter_Sun,Spring_Sun,Summer_Sun,Autumn_Sun,Grain_Filling_Sun,Flowering_Sun,Summer_Sun_per_Rain,Winter_Frost,Spring_Frost,Autumn_Frost,Late_Spring_Frost,Spring_Temp_x_Rain,Summer_Temp_x_Rain,Summer_Temp_x_Sun,Heat_Stress,Cold_Spring,Extreme_Summer_Rain,Drought_Spring
2008,Sued_DE,Germany,Spring_Barley,223109,4.791,5.351564089457194,13.411705334981283,23.0651003519694,12.420310179392496,-1.7045880556106567,3.556180059909821,11.723138809204102,4.035716265439987,8.483942697445553,17.394119580586754,21.53013324737549,23.12509536743164,23.629709243774418,-0.3583856225013733,9.855525275071464,11.3419615427653,763.5548427700996,1565.4707622528076,162.6642189025879,243.5914192199707,269.1227569580078,180.77218627929688,205.27770233154297,171.75440979003906,194.5911102294922,856.1505813598633,64.18357917882884,59336.77951759951,72427.05831267894,191.06065368652344,611.4113311767578,789.2859954833984,298.2890434265137,546.4589233398438,568.439453125,2.9219529830509527,64.0,19.0,16.0,2.0,2066.6156422516688,4681.153416384774,18204.960692228655,1,1,0,0
2008,Sued_DE,Germany,Wheat,662521,7.399,5.351564089457194,13.411705334981283,23.0651003519694,12.420310179392496,-1.7045880556106567,3.556180059909821,11.723138809204102,4.035716265439987,8.483942697445553,17.394119580586754,21.53013324737549,23.12509536743164,23.629709243774418,-0.3583856225013733,9.855525275071464,11.3419615427653,763.5548427700996,1565.4707622528076,162.6642189025879,243.5914192199707,269.1227569580078,180.77218627929688,205.27770233154297,171.75440979003906,194.5911102294922,856.1505813598633,64.18357917882884,59336.77951759951,72427.05831267894,191.06065368652344,611.4113311767578,789.2859954833984,298.2890434265137,546.4589233398438,568.439453125,2.9219529830509527,64.0,19.0,16.0,2.0,2066.6156422516688,4681.153416384774,18204.960692228655,1,1,0,0
2008,Sued_DE,Germany,Winter_Barley,396387,5.777,5.351564089457194,13.411705334981283,23.0651003519694,12.420310179392496,-1.7045880556106567,3.556180059909821,11.723138809204102,4.035716265439987,8.483942697445553,17.394119580586754,21.53013324737549,23.12509536743164,23.629709243774418,-0.3583856225013733,9.855525275071464,11.3419615427653,763.5548427700996,1565.4707622528076,162.6642189025879,243.5914192199707,269.1227569580078,180.77218627929688,205.27770233154297,171.75440979003906,194.5911102294922,856.1505813598633,64.18357917882884,59336.77951759951,72427.05831267894,191.06065368652344,611.4113311767578,789.2859954833984,298.2890434265137,546.4589233398438,568.439453125,2.9219529830509527,64.0,19.0,16.0,2.0,2066.6156422516688,4681.153416384774,18204.960692228655,1,1,0,0
2008,West_DE,Germany,Oats,38200,4.927,6.1351237297058105,13.779892603556316,22.794022878011067,12.781157811482748,0.2099888051549593,4.626177430152893,12.08723004659017,5.2458367347717285,9.203035016854605,17.440626462300617,21.689946174621586,23.02407741546631,23.59786796569824,1.2737983465194702,9.15371517340342,10.706792831420897,828.2731515169144,1569.6563816070557,172.55379104614258,198.38759231567383,217.3253288269043,167.9115104675293,154.5919303894043,140.7626609802246,156.51019287109375,756.17822265625,164.15593788244212,39357.636784810005,47230.29854972208,141.7141513824463,561.1802368164062,739.1325988769531,258.89626693725586,531.7923278808594,558.2091369628906,3.3854642649500484,48.0,15.0,9.0,4.0,1825.7679589906213,3790.28988086669,16847.805368685047,1,1,0,0
2008,West_DE,Germany,Oilseed_Rape,181152,3.679,6.1351237297058105,13.779892603556316,22.794022878011067,12.781157811482748,0.2099888051549593,4.626177430152893,12.08723004659017,5.2458367347717285,9.203035016854605,17.440626462300617,21.689946174621586,23.02407741546631,23.59786796569824,1.2737983465194702,9.15371517340342,10.706792831420897,828.2731515169144,1569.6563816070557,172.55379104614258,198.38759231567383,217.3253288269043,167.9115104675293,154.5919303894043,140.7626609802246,156.51019287109375,756.17822265625,164.15593788244212,39357.636784810005,47230.29854972208,141.7141513824463,561.1802368164062,739.1325988769531,258.89626693725586,531.7923278808594,558.2091369628906,3.3854642649500484,48.0,15.0,9.0,4.0,1825.7679589906213,3790.28988086669,16847.805368685047,1,1,0,0
2008,West_DE,Germany,Spring_Barley,91402,5.176,6.1351237297058105,13.779892603556316,22.794022878011067,12.781157811482748,0.2099888051549593,4.626177430152893,12.08723004659017,5.2458367347717285,9.203035016854605,17.440626462300617,21.689946174621586,23.02407741546631,23.59786796569824,1.2737983465194702,9.15371517340342,10.706792831420897,828.2731515169144,1569.6563816070557,172.55379104614258,198.38759231567383,217.3253288269043,167.9115104675293,154.5919303894043,140.7626609802246,156.51019287109375,756.17822265625,164.15593788244212,39357.636784810005,47230.29854972208,141.7141513824463,561.1802368164062,739.1325988769531,258.89626693725586,531.7923278808594,558.2091369628906,3.3854642649500484,48.0,15.0,9.0,4.0,1825.7679589906213,3790.28988086669,16847.805368685047,1,1,0,0
2008,West_DE,Germany,Wheat,514332,8.503,6.1351237297058105,13.779892603556316,22.794022878011067,12.781157811482748,0.2099888051549593,4.626177430152893,12.08723004659017,5.2458367347717285,9.203035016854605,17.440626462300617,21.689946174621586,23.02407741546631,23.59786796569824,1.2737983465194702,9.15371517340342,10.706792831420897,828.2731515169144,1569.6563816070557,172.55379104614258,198.38759231567383,217.3253288269043,167.9115104675293,154.5919303894043,140.7626609802246,156.51019287109375,756.17822265625,164.15593788244212,39357.636784810005,47230.29854972208,141.7141513824463,561.1802368164062,739.1325988769531,258.89626693725586,531.7923278808594,558.2091369628906,3.3854642649500484,48.0,15.0,9.0,4.0,1825.7679589906213,3790.28988086669,16847.805368685047,1,1,0,0
2008,West_DE,Germany,Winter_Barley,290057,6.823,6.1351237297058105,13.779892603556316,22.794022878011067,12.781157811482748,0.2099888051549593,4.626177430152893,12.08723004659017,5.2458367347717285,9.203035016854605,17.440626462300617,21.689946174621586,23.02407741546631,23.59786796569824,1.2737983465194702,9.15371517340342,10.706792831420897,828.2731515169144,1569.6563816070557,172.55379104614258,198.38759231567383,217.3253288269043,167.9115104675293,154.5919303894043,140.7626609802246,156.51019287109375,756.17822265625,164.15593788244212,39357.636784810005,47230.29854972208,141.7141513824463,561.1802368164062,739.1325988769531,258.89626693725586,531.7923278808594,558.2091369628906,3.3854642649500484,48.0,15.0,9.0,4.0,1825.7679589906213,3790.28988086669,16847.805368685047,1,1,0,0
2009,Nord_DE,Germany,Oats,18266,4.986,2.711875597635905,14.921912829081217,22.393277486165363,13.90675926208496,-2.034534235795339,4.793338418006897,11.675097147623696,6.8858747482299805,9.857625623544056,17.03418731689453,18.89173412322998,21.345921516418457,24.48798942565918,1.5398420095443726,10.12857441107432,10.718180338541666,887.1863061189651,1533.0768585205078,143.6145534515381,127.72637176513672,191.8970069885254,214.7255172729492,76.24845886230469,159.7230339050293,129.2050552368164,677.9634494781494,242.3707110605427,16314.026044285914,36824.46129115416,97.54308128356934,634.626106262207,773.8842163085938,262.7650337219238,527.6333923339844,545.6758728027344,4.011903701308485,63.0,7.0,0.0,0.0,1259.0787551143258,3268.8095625939604,17329.803997961957,1,1,0,1
2009,Nord_DE,Germany,Oilseed_Rape,482569,4.516,2.711875597635905,14.921912829081217,22.393277486165363,13.90675926208496,-2.034534235795339,4.793338418006897,11.675097147623696,6.8858747482299805,9.857625623544056,17.03418731689453,18.89173412322998,21.345921516418457,24.48798942565918,1.5398420095443726,10.12857441107432,10.718180338541666,887.1863061189651,1533.0768585205078,143.6145534515381,127.72637176513672,191.8970069885254,214.7255172729492,76.24845886230469,159.7230339050293,129.2050552368164,677.9634494781494,242.3707110605427,16314.026044285914,36824.46129115416,97.54308128356934,634.626106262207,773.8842163085938,262.7650337219238,527.6333923339844,545.6758728027344,4.011903701308485,63.0,7.0,0.0,0.0,1259.0787551143258,3268.8095625939604,17329.803997961957,1,1,0,1
