Year,Region,Country,Crop,Area_hectares,Yield_t_per_ha,Winter_Tmax,Spring_Tmax,Summer_Tmax,Autumn_Tmax,Winter_Tmin,Spring_Tmin,Summer_Tmin,Autumn_Tmin,Spring_Temp_Mean,Summer_Temp_Mean,Flowering_Temp,Grain_Filling_Temp,Summer_Tmax_Peak,Spring_Tmin_Coldest,Spring_Temp_Range,Summer_Temp_Range,Spring_GDD,Summer_GDD,Winter_Rain,Spring_Rain,Summer_Rain,Autumn_Rain,Planting_Rain,Grain_Filling_Rain,Harvest_Rain,Annual_Rain,Rain_Deviation_from_Optimal,Spring_Rain_Squared,Summer_Rain_Squared,Winter_Sun,Spring_Sun,Summer_Sun,Autumn_Sun,Grain_Filling_Sun,Flowering_Sun,Summer_Sun_per_Rain,Winter_Frost,Spring_Frost,Autumn_Frost,Late_Spring_Frost,Spring_Temp_x_Rain,Summer_Temp_x_Rain,Summer_Temp_x_Sun,Heat_Stress,Cold_Spring,Extreme_Summer_Rain,Drought_Spring
2014,Nord,France,Winter_Barley,196313,8.304,8.629271984100342,16.00032615661621,22.23600196838379,17.147672017415363,3.370965321858724,6.0439291795094805,12.403708457946776,9.390907764434814,11.022127668062843,17.319855213165283,19.64576816558838,22.777135848999023,23.8865966796875,3.386883497238159,9.956396977106731,9.832293510437012,991.991490125656,1558.7869691848755,227.1735382080078,148.308443069458,265.3539390563965,138.27353477478027,59.19971656799317,159.20586776733398,206.81101989746097,779.1094551086426,164.84679460987832,21995.394285686667,70412.71297274578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,1634.6745937631963,4595.8918046998715,0.0,1,0,0,1
2014,Ouest,France,Winter_Barley,260004,6.934,10.210051854451498,16.227530479431152,23.117048899332683,18.954235394795734,4.394484281539917,6.4844902356465655,12.894550005594889,10.096189816792808,11.356010357538858,18.005799452463787,20.387840270996097,23.799562454223633,24.705015182495117,4.141756057739258,9.743040243784588,10.222498893737797,1022.0409321784972,1620.5219507217407,340.7639808654785,190.90195846557617,226.0642204284668,192.8829774856567,106.6052131652832,115.33414840698242,180.24417114257812,950.6131372451782,6.656887526657329,36443.55774599257,51105.031757930425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2167.884617609536,4070.467016412541,0.0,1,0,0,0
2014,Sud,France,Winter_Barley,191931,5.219,8.864996433258057,16.20931911468506,23.78095245361328,19.17291005452474,2.02550462881724,5.462972323099772,12.85814889272054,9.28380823135376,10.836145718892416,18.319550673166912,21.2674560546875,24.084237098693848,24.508455276489254,2.7101845741271973,10.746346791585283,10.92280356089274,975.2531147003174,1648.759560585022,317.7835159301758,197.31851196289065,254.4852752685547,300.5017395019531,121.21153259277344,179.5821533203125,197.93151092529297,1070.0890426635742,126.13279294505332,38934.59516324941,64762.75532851205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,2138.1721486648994,4662.055895857118,0.0,1,0,0,0
2015,Est,France,Winter_Barley,508291,7.293,7.811268488566081,16.157710393269856,26.60752995808919,15.506586074829102,1.1722946763038635,4.844591895739238,13.473663647969564,7.001156171162923,10.501151144504547,20.040596803029377,21.93449306488037,26.432294845581055,28.358631134033203,1.939555525779724,11.313118497530615,13.133866310119627,945.1036030054092,1803.653712272644,155.8465747833252,174.09525680541992,142.71910667419434,196.496280670166,113.59868621826172,62.41653251647949,102.50583457946776,669.1572189331055,274.7990307854154,30309.15844214511,20368.743409880062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,11.0,4.0,3.0,1828.2006052550485,2860.1760729460675,0.0,1,1,0,1
2015,Nord,France,Winter_Barley,68710,8.545,8.431376616160074,15.061688423156738,24.131585439046223,15.384875297546388,2.953554292519887,5.260952711105347,12.563344955444336,7.931969324747722,10.161320567131042,18.34746519724528,20.097966194152832,23.677090644836422,25.04057502746582,2.9520885944366455,9.800735712051392,11.568240483601889,914.5188510417938,1651.2718677520752,161.83319473266602,115.42389106750488,152.69285011291504,190.13662338256836,65.13047218322754,66.1115894317627,128.63948822021484,620.0865592956543,323.8696904228666,13322.674629163232,23315.10647560514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,1.0,1.0,1172.8591582425304,2801.5267533148985,0.0,1,0,0,1
2015,Ouest,France,Winter_Barley,298062,7.194,10.190938631693522,16.096831957499187,24.227549235026043,16.99130344390869,3.7202979723612466,6.667294502258301,13.058854420979818,8.804455757141113,11.382063229878744,18.64320182800293,20.8244571685791,24.10431957244873,24.94573974609375,4.331230640411377,9.429537455240888,11.168694814046225,1024.385690689087,1677.8881645202637,202.7638168334961,144.15534210205078,186.3865547180176,173.5779151916504,84.4819107055664,78.54555892944336,148.23472213745117,706.8836288452148,237.07262087330605,20780.762656559295,34739.94777965256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,1640.785218730343,3474.8421576341134,0.0,1,0,0,1
2015,Sud,France,Winter_Barley,207390,5.331,9.17287047704061,16.50608476003011,26.756282806396484,16.846927007039387,0.956005041797956,6.074195782343547,14.195404688517252,7.062490781148274,11.290140271186829,20.475843747456867,22.685585021972656,27.040762901306152,28.800827026367188,3.3746325969696045,10.431888977686562,12.560878117879232,1016.1126244068146,1842.8259372711184,173.0079689025879,179.24917221069336,191.9930648803711,219.27363204956055,136.21891021728516,104.1550521850586,120.80587768554688,763.5238380432129,180.432411675308,32130.265738218804,36861.336962158384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,4.0,1.0,2023.748297752852,3931.2199970858273,0.0,1,0,0,1
2016,Est,France,Winter_Barley,372785,5.506,7.376485824584961,14.10621420542399,24.63562838236491,16.0666348139445,0.9821478525797526,4.6004371245702105,13.120067596435549,6.907668352127075,9.3533256649971,18.87784798940023,20.05195426940918,23.63209819793701,26.642688751220703,1.342965006828308,9.50577708085378,11.515560785929363,841.7993098497391,1699.0063190460205,211.22969436645508,316.0870132446289,177.90034103393555,179.73553085327148,171.95154571533203,151.5376968383789,62.48215103149414,884.952579498291,59.00367022022988,99910.9999419102,31648.53133999057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,14.0,6.0,4.0,2956.464773353266,3358.3755953010955,0.0,1,1,0,0
2016,Nord,France,Winter_Barley,59810,6.337,7.778411865234375,13.910153071085611,23.219703674316406,15.909049987792969,2.111994425455729,5.137740055720012,13.176427523295084,7.840669631958008,9.523946563402813,18.198065598805744,19.422218322753903,22.23072624206543,25.19765853881836,2.4265992641448975,8.7724130153656,10.043276151021322,857.155190706253,1637.825903892517,171.09628295898438,256.1278953552246,146.11273574829102,144.50315475463867,129.80400466918945,113.70744323730467,56.5025749206543,717.8400688171387,226.11618090138222,65601.49877909689,21348.93154784992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,9.0,4.0,2.0,2439.3483887599864,2658.969149968369,0.0,1,0,0,0
2016,Ouest,France,Winter_Barley,325846,6.049,9.939315795898438,14.781821568806969,23.91221745808919,17.387437502543133,3.5424250761667886,5.658332268397014,13.29941463470459,8.402183850606283,10.22007691860199,18.60581604639689,19.81407356262207,22.71887588500977,26.298900604248047,3.326455354690552,9.123489300409954,10.612802823384602,919.8069226741792,1674.5234441757202,259.35428619384766,214.6568946838379,95.36030673980711,154.9159755706787,138.91370010375977,76.19690036773682,30.370171546936035,724.2874631881714,219.6687865303495,46077.58243530827,9093.588101510104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,2193.80997477707,1774.2563253288329,0.0,1,0,0,0
