Year,Region,Crop,Area_hectares,Yield_t_per_ha
2004,Est,Oilseed_Rape,687445,3.584
2004,Nord,Oilseed_Rape,163436,3.91
2004,Ouest,Oilseed_Rape,183063,3.199
2004,Sud,Oilseed_Rape,58571,2.996
2005,Est,Oilseed_Rape,651073,3.568
2005,Nord,Oilseed_Rape,182316,3.95
2005,Ouest,Oilseed_Rape,213470,3.773
2005,Sud,Oilseed_Rape,69817,3.046
2006,Est,Oilseed_Rape,795128,2.97
2006,Nord,Oilseed_Rape,256104,3.022
2006,Ouest,Oilseed_Rape,254180,2.88
2006,Sud,Oilseed_Rape,93922,2.788
2007,Est,Oilseed_Rape,870348,2.948
2007,Nord,Oilseed_Rape,314878,3.195
2007,Ouest,Oilseed_Rape,303148,2.636
2007,Sud,Oilseed_Rape,125959,2.461
2008,Est,Oilseed_Rape,809639,3.286
2008,Nord,Oilseed_Rape,259909,3.768
2008,Ouest,Oilseed_Rape,240822,3.058
2008,Sud,Oilseed_Rape,105594,3.106
2009,Est,Oilseed_Rape,769578,3.75
2009,Nord,Oilseed_Rape,147320,4.184
2009,Ouest,Oilseed_Rape,238762,3.597
2009,Sud,Oilseed_Rape,101254,2.743
2010,Est,Oilseed_Rape,845054,3.244
2010,Nord,Oilseed_Rape,289875,3.81
2010,Ouest,Oilseed_Rape,229386,3.023
2010,Sud,Oilseed_Rape,94675,2.716
2011,Est,Oilseed_Rape,877650,3.345
2011,Nord,Oilseed_Rape,225154,3.977
2011,Ouest,Oilseed_Rape,250105,3.295
2011,Sud,Oilseed_Rape,102716,2.53
2012,Est,Oilseed_Rape,877820,3.203
2012,Nord,Oilseed_Rape,347749,3.923
2012,Ouest,Oilseed_Rape,272362,3.56
2012,Sud,Oilseed_Rape,105629,2.9
2013,Est,Oilseed_Rape,704700,2.858
2013,Nord,Oilseed_Rape,348869,3.606
2013,Ouest,Oilseed_Rape,228232,3.056
2013,Sud,Oilseed_Rape,102159,2.787
2014,Est,Oilseed_Rape,809490,3.722
2014,Nord,Oilseed_Rape,336865,3.849
2014,Ouest,Oilseed_Rape,246184,3.574
2014,Sud,Oilseed_Rape,105380,3.036
2015,Est,Oilseed_Rape,823496,3.505
2015,Nord,Oilseed_Rape,316241,4.034
2015,Ouest,Oilseed_Rape,262776,3.394
2015,Sud,Oilseed_Rape,98350,2.673
2016,Est,Oilseed_Rape,832723,2.91
2016,Nord,Oilseed_Rape,317110,3.207
2016,Ouest,Oilseed_Rape,284781,3.292
2016,Sud,Oilseed_Rape,107275,3.166
